date,time,open,high,low,close,volume,oi,exchangecode,symbolcode,expiry
07-03-2025,09:15:00,7462.25,7499.7,7451.1,7477.1,5914,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:16:00,7481.75,7522.85,7473.65,7516.8,7357,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:17:00,7512.6,7534.85,7507,7530.75,5484,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:18:00,7530.75,7530.75,7516.05,7520,2532,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:19:00,7518.15,7540,7518.15,7538,4622,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:20:00,7538,7538,7527,7529.75,1764,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:21:00,7529.75,7529.75,7519.55,7524,4739,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:22:00,7527.2,7549.65,7522.05,7549.65,3838,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:23:00,7549.65,7554.95,7541.5,7548.95,4782,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:24:00,7548.95,7553.8,7541.8,7551.8,3102,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:25:00,7552.1,7570,7552.1,7561.8,6181,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:26:00,7561.8,7593.75,7552.75,7584.85,14372,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:27:00,7587.85,7594,7584.85,7593.7,5393,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:28:00,7593.65,7610,7588.9,7600,8995,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:29:00,7596.25,7609,7594.05,7605,9389,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:30:00,7603.9,7614.5,7600,7610,7872,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:31:00,7612.95,7617,7602.4,7603.5,4418,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:32:00,7602.9,7617.35,7600,7613.85,4873,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:33:00,7612.2,7613,7605.1,7610,2287,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:34:00,7612,7622,7609.5,7610,3327,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:35:00,7610,7610,7587.85,7590,4740,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:36:00,7590,7599.4,7581,7598.15,4253,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:37:00,7598.15,7598.15,7577,7580.4,3684,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:38:00,7580,7590,7580,7588.85,3013,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:39:00,7589.45,7596.9,7580.15,7581.65,4654,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:40:00,7582.85,7595,7578.5,7592,2904,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:41:00,7592,7592,7563.3,7566.5,2994,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:42:00,7568.5,7572.7,7561.25,7569.7,3573,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:43:00,7565.3,7580,7565,7572.75,1669,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:44:00,7572.7,7573.75,7566.2,7568.8,1548,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:45:00,7566.25,7573.25,7557.75,7557.75,2904,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:46:00,7562,7567.3,7557.4,7566.45,1472,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:47:00,7564,7566.95,7560.4,7565.6,1115,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:48:00,7565.6,7570.55,7562,7563,2561,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:49:00,7563,7563,7558,7560.35,841,0,1,16669,01-01-0001 00:00:00
07-03-2025,09:50:00,7560.35,7575,7559.4,7567.2,2068,0,1,16669,01-01-0001 00:00:00
