date,time,open,high,low,close,volume,oi,exchangecode,symbolcode,expiry
04-03-2025,09:15:00,1207.15,1213.9,1207.15,1210.3,363125,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:16:00,1210.35,1214.95,1209.2,1212.9,99923,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:17:00,1212.8,1213.15,1211.3,1212.3,66013,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:18:00,1212.3,1212.3,1210,1210.4,56150,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:19:00,1210.4,1215,1210.3,1214.3,77552,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:20:00,1214.4,1214.8,1213.65,1213.9,46810,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:21:00,1213.95,1214.15,1212.35,1213.95,37998,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:22:00,1214.2,1214.35,1212,1212.5,42969,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:23:00,1212.5,1213.9,1212,1213.5,45016,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:24:00,1213.4,1213.8,1212.6,1212.9,17721,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:25:00,1212.9,1212.95,1211,1211.05,21319,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:26:00,1210.95,1211,1209.75,1209.95,42831,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:27:00,1209.65,1210,1208.7,1208.75,49209,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:28:00,1208.75,1210.25,1208.55,1208.55,25633,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:29:00,1208.55,1208.75,1208,1208.5,17908,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:30:00,1208.35,1208.9,1207.7,1208.7,24567,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:31:00,1208.65,1209.05,1208.2,1209.05,17889,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:32:00,1209.1,1210.95,1209.1,1210,24555,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:33:00,1210,1210.75,1210,1210.75,18663,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:34:00,1210.75,1210.75,1209.05,1209.05,22168,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:35:00,1209,1211.55,1209,1211.55,17100,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:36:00,1211.45,1211.5,1210.55,1211.05,7799,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:37:00,1211.05,1213.45,1211.05,1213.1,27398,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:38:00,1213.3,1213.55,1212.05,1212.45,18218,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:39:00,1212.45,1213.3,1212.25,1212.4,11462,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:40:00,1212.4,1212.45,1212.35,1212.35,4559,0,1,4963,01-01-0001 00:00:00
04-03-2025,09:41:00,1212.35,1214,1212.35,1213.7,30219,0,1,4963,01-01-0001 00:00:00
