date,time,open,high,low,close,volume,oi,exchangecode,symbolcode,expiry
21-01-2025,09:15:00,1310.5,1313,1305.45,1306.75,104989,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:16:00,1306.75,1307.95,1306.15,1307.5,45956,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:17:00,1307.3,1308,1306.4,1306.9,25971,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:18:00,1306.75,1306.8,1305.55,1305.85,33876,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:19:00,1305.55,1306,1305.05,1305.1,31817,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:20:00,1305.1,1306.45,1304.15,1305,34067,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:21:00,1305,1305.4,1303.8,1304.3,25908,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:22:00,1304.25,1306,1304.25,1305.4,19014,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:23:00,1305.35,1305.35,1303.05,1303.1,18916,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:24:00,1303.1,1303.65,1302.55,1302.9,33398,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:25:00,1302.8,1303.25,1302.5,1302.85,12760,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:26:00,1303,1303.5,1302.5,1303.4,27992,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:27:00,1303.5,1303.85,1302.2,1303.45,31668,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:28:00,1303.45,1303.75,1302.15,1303,24952,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:29:00,1302.85,1303.55,1302.1,1303.3,22918,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:30:00,1303.55,1304.15,1303.2,1303.8,23139,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:31:00,1303.8,1303.9,1301.15,1301.55,55468,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:32:00,1301.55,1301.8,1300,1300.3,50340,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:33:00,1300.35,1300.7,1299.45,1300.15,33333,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:34:00,1300,1300,1298.6,1299.05,36128,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:35:00,1299.45,1299.75,1298.95,1299.6,23394,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:36:00,1299.5,1299.95,1298.4,1299.95,26375,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:37:00,1299.95,1299.95,1297.1,1297.1,37613,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:38:00,1297.6,1298.9,1297,1298.9,40955,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:39:00,1298.95,1298.95,1297.9,1298.15,14826,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:40:00,1298.15,1299.2,1298,1298.2,20698,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:41:00,1298.7,1299.55,1298.5,1299.55,16532,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:42:00,1299.55,1299.55,1298,1298,16390,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:43:00,1298,1298.65,1298,1298.25,11134,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:44:00,1298.25,1298.35,1296.15,1296.75,31013,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:45:00,1296.75,1297,1296,1296.5,34042,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:46:00,1296.5,1296.75,1293.25,1294,71297,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:47:00,1293.7,1294.15,1292.8,1294.05,27344,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:48:00,1294.2,1295,1294.05,1294.05,21541,0,1,2885,01-01-0001 00:00:00
21-01-2025,09:49:00,1294.05,1295,1293.55,1294.95,22364,0,1,2885,01-01-0001 00:00:00
