date,time,open,high,low,close,volume,oi,exchangecode,symbolcode,expiry
14-07-2025,09:15:00,3266,3272,3246.6,3252,65532,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:16:00,3252.9,3252.9,3242,3246.3,29825,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:17:00,3246.6,3246.6,3240.2,3245,25247,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:18:00,3244.3,3244.6,3239,3240.1,36182,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:19:00,3239.9,3245,3236.5,3244.2,28643,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:20:00,3244.6,3247.3,3242,3246.1,17136,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:21:00,3246.3,3248.6,3244.5,3245.1,14235,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:22:00,3246.2,3248.9,3245.1,3246.8,10054,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:23:00,3246.1,3249.6,3246.1,3248,11998,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:24:00,3247.5,3247.5,3242.4,3243.4,15052,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:25:00,3244.4,3245.5,3241.9,3241.9,12285,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:26:00,3241.8,3246.7,3241.6,3246,14144,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:27:00,3246.7,3247.3,3245.3,3245.3,8120,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:28:00,3245.3,3246,3241,3241.1,24655,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:29:00,3241.1,3241.4,3235.9,3236.8,43099,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:30:00,3236.8,3238.4,3236.8,3238,7162,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:31:00,3238,3238.4,3235.8,3236,13200,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:32:00,3236,3237.2,3235.2,3236.5,10345,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:33:00,3237,3238.9,3236.7,3238.5,10992,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:34:00,3238.4,3238.4,3236.1,3237.5,11696,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:35:00,3238.2,3238.3,3233.7,3234.9,21242,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:36:00,3234.9,3237.3,3234.1,3237.1,7448,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:37:00,3237.3,3242.4,3236,3242.4,11961,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:38:00,3242.2,3244.8,3240,3243.2,12116,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:39:00,3242.5,3243.3,3241,3242.5,5262,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:40:00,3242.6,3244.3,3242.5,3244.1,7178,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:41:00,3244.3,3245.3,3240.2,3240.8,14469,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:42:00,3240.8,3241.9,3238.5,3240.9,8930,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:43:00,3240.9,3240.9,3238,3238,5688,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:44:00,3238,3239.2,3238,3239,8480,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:45:00,3238.9,3240,3237,3237.5,8150,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:46:00,3237.5,3240.6,3237,3240.2,9028,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:47:00,3240.2,3241.9,3240,3240.5,4663,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:48:00,3240.5,3240.7,3238.1,3240,8895,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:49:00,3240.3,3241,3238.4,3238.4,6724,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:50:00,3238.4,3241.8,3237,3241.1,22881,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:51:00,3241,3243.4,3240.4,3242.6,7066,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:52:00,3243.9,3244.7,3241.5,3242.5,16041,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:53:00,3242.5,3244.9,3242,3242.9,9696,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:54:00,3242.9,3244.8,3242.7,3244.8,8604,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:55:00,3243.7,3244,3241.9,3243,7406,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:56:00,3243,3244.4,3243,3243.5,6880,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:57:00,3243.5,3244.3,3242.8,3243.2,5668,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:58:00,3243,3243.3,3241.9,3243.2,6664,0,1,11536,01-01-0001 00:00:00
14-07-2025,09:59:00,3243.1,3245.2,3242.5,3244.9,11726,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:00:00,3244.9,3247,3244.6,3246.3,10362,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:01:00,3246.6,3248,3246.6,3247.8,11898,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:02:00,3247.8,3248.1,3245.9,3247.1,8845,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:03:00,3247.1,3248,3246,3246.7,10836,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:04:00,3246.7,3247.4,3244.7,3245,5868,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:05:00,3244.7,3245,3242.7,3243.1,7338,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:06:00,3243.3,3243.3,3240,3241,9479,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:07:00,3240.9,3243,3240.8,3242.5,6744,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:08:00,3241.6,3242.8,3241,3241.5,5402,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:09:00,3241.6,3241.6,3240,3240.1,6439,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:10:00,3240.1,3241.3,3239.1,3240.2,19925,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:11:00,3240.3,3240.3,3239,3240.1,5093,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:12:00,3240,3241.3,3239.2,3241.2,5495,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:13:00,3240.9,3243.9,3240.9,3243.9,5959,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:14:00,3243.9,3245,3243.2,3244.9,7971,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:15:00,3244.2,3244.9,3242.6,3242.6,12839,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:16:00,3242.8,3242.8,3241,3241.4,6089,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:17:00,3241,3241.7,3240.6,3241.4,7443,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:18:00,3241.4,3243.2,3241.1,3242.7,4801,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:19:00,3242.7,3244.5,3241.7,3243.3,5803,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:20:00,3243.3,3244.2,3242.2,3242.7,5289,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:21:00,3242.7,3244.5,3242.2,3243.1,5571,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:22:00,3243.2,3244.4,3242.5,3242.8,5424,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:23:00,3242.7,3242.8,3241.2,3241.2,4408,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:24:00,3241.2,3242,3240.7,3241,3638,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:25:00,3241,3242.3,3240.5,3241.3,5641,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:26:00,3241.3,3243.3,3240.7,3242.4,4877,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:27:00,3242.4,3242.4,3241.2,3241.5,4075,0,1,11536,01-01-0001 00:00:00
14-07-2025,10:28:00,3241.3,3243,3241.3,3241.8,4912,0,1,11536,01-01-0001 00:00:00
