date,time,open,high,low,close,volume,oi,exchangecode,symbolcode,expiry
15-07-2025,09:15:00,8128,8128,8090,8115,2162,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:16:00,8115,8122.5,8108,8119.5,1802,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:17:00,8119.5,8145,8117.5,8141.5,1378,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:18:00,8141.5,8141.5,8134,8135,533,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:19:00,8135,8136,8120,8129.5,1920,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:20:00,8129.5,8140,8129.5,8139,689,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:21:00,8142,8151,8142,8146.5,1088,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:22:00,8146.5,8149.5,8145,8146.5,1201,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:23:00,8141.5,8145,8137.5,8137.5,811,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:24:00,8137.5,8140,8134.5,8135.5,853,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:25:00,8138.5,8144.5,8137,8142,648,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:26:00,8140,8149,8139,8149,1497,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:27:00,8149,8160,8149,8157.5,2276,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:28:00,8158,8158,8153,8157.5,1110,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:29:00,8156.5,8156.5,8150.5,8153.5,450,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:30:00,8150.5,8157.5,8149.5,8149.5,908,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:31:00,8149.5,8150.5,8145,8150.5,271,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:32:00,8150.5,8150.5,8148.5,8149.5,469,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:33:00,8146.5,8149.5,8137,8141.5,1126,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:34:00,8137.5,8147,8135,8145,416,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:35:00,8140.5,8140.5,8133.5,8133.5,1412,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:36:00,8132.5,8135.5,8127,8127.5,513,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:37:00,8127.5,8138.5,8127.5,8134,619,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:38:00,8134,8137.5,8133.5,8133.5,97,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:39:00,8133.5,8139,8133,8135.5,552,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:40:00,8135.5,8137,8132,8134.5,368,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:41:00,8134.5,8134.5,8130.5,8130.5,430,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:42:00,8130.5,8131,8128,8130.5,171,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:43:00,8130.5,8130.5,8120,8120,396,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:44:00,8123,8126.5,8120,8124,255,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:45:00,8124,8127.5,8122,8122,107,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:46:00,8125.5,8126.5,8122,8126,422,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:47:00,8126,8128,8126,8128,73,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:48:00,8129,8129,8125,8125,430,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:49:00,8126.5,8128,8124,8124,295,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:50:00,8124,8128,8124,8125,445,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:51:00,8125,8129,8125,8129,134,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:52:00,8129,8129,8126.5,8126.5,174,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:53:00,8126.5,8135,8125,8135,266,0,1,16669,01-01-0001 00:00:00
15-07-2025,09:54:00,8133,8135,8126,8126,164,0,1,16669,01-01-0001 00:00:00
