date,time,open,high,low,close,volume,oi,exchangecode,symbolcode,expiry
14-02-2025,09:15:00,1219,1223.8,1218.6,1222.8,152822,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:16:00,1222.8,1224,1221,1223.1,72082,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:17:00,1223.4,1223.4,1220.05,1220.05,26001,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:18:00,1220.2,1220.45,1219.35,1220.1,20958,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:19:00,1220,1220.4,1218.8,1219.05,32527,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:20:00,1219.05,1219.55,1218.45,1218.65,40570,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:21:00,1218.65,1218.95,1218.4,1218.4,11418,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:22:00,1218.4,1218.8,1217,1217,40186,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:23:00,1217,1219.15,1217,1219,24568,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:24:00,1218.95,1219.95,1218.05,1219.7,20918,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:25:00,1219.65,1219.95,1218.65,1218.65,12711,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:26:00,1218.95,1219,1218.6,1218.65,10539,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:27:00,1218.65,1218.65,1217.45,1218.4,26210,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:28:00,1218.4,1219,1218,1218,17064,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:29:00,1218.1,1218.1,1217,1217.25,23784,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:30:00,1217.05,1217.35,1216.45,1217.25,21995,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:31:00,1217.05,1217.25,1216,1216,24800,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:32:00,1216,1216.05,1214.4,1215.7,32767,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:33:00,1215.75,1216,1215,1215.4,13347,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:34:00,1215.3,1215.85,1215.2,1215.2,11838,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:35:00,1215.15,1215.15,1214.7,1214.75,9935,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:36:00,1214.5,1215.4,1214.5,1215.15,10794,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:37:00,1215.15,1218.25,1215.15,1217.55,19860,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:38:00,1217.85,1219,1217.5,1218.9,17561,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:39:00,1218.9,1219.7,1218.25,1219.3,13659,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:40:00,1219.3,1219.8,1218.75,1219,10722,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:41:00,1219.15,1219.5,1219,1219.15,15979,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:42:00,1219.15,1219.4,1218.5,1219.4,20935,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:43:00,1219.4,1219.5,1218,1218.45,4831,0,1,2885,01-01-0001 00:00:00
14-02-2025,09:44:00,1218.9,1219,1218.05,1218.4,10556,0,1,2885,01-01-0001 00:00:00
