date,time,open,high,low,close,volume,oi,exchangecode,symbolcode,expiry
02-01-2025,09:15:00,4120,4134.1,4104.05,4108.55,26270,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:16:00,4110,4117.3,4105.15,4105.4,5412,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:17:00,4107.25,4114.55,4104,4112.35,4081,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:18:00,4112.35,4114.7,4108.05,4113.05,3525,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:19:00,4113.05,4113.05,4106.1,4106.1,3559,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:20:00,4106.2,4107.45,4100.25,4101.95,4123,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:21:00,4101.2,4104.35,4100.35,4102.55,1858,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:22:00,4102.55,4102.55,4096.95,4100.95,5292,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:23:00,4100.95,4104.05,4099.75,4103.7,3322,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:24:00,4103.1,4105.85,4102.2,4102.2,5756,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:25:00,4102.2,4104.5,4102,4104.25,4647,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:26:00,4104.25,4118.2,4103,4116.05,8270,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:27:00,4115.35,4120,4113.55,4116.5,4275,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:28:00,4116.45,4119,4115,4117.75,1629,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:29:00,4120,4121.85,4117.25,4120,2823,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:30:00,4118.9,4120,4117,4117.55,2525,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:31:00,4117.55,4120.05,4117.5,4119.1,1371,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:32:00,4119.75,4124.5,4119.2,4122.2,4760,0,1,11536,01-01-0001 00:00:00
02-01-2025,09:33:00,4121.4,4122.2,4119,4120.75,2401,0,1,11536,01-01-0001 00:00:00
