date,time,open,high,low,close,volume,oi,exchangecode,symbolcode,expiry
20-06-2025,09:15:00,8315,8326,8270,8303,15984,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:16:00,8303.5,8323,8280.5,8316,9138,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:17:00,8315,8337.5,8315,8330,4590,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:18:00,8330,8331,8311,8312.5,2602,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:19:00,8315,8315,8285,8295,3969,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:20:00,8295,8306,8293,8300.5,3370,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:21:00,8300,8300,8280,8283,3794,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:22:00,8284,8287.5,8262,8262,6549,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:23:00,8262,8264.5,8250,8255,4202,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:24:00,8256.5,8265.5,8254,8265.5,3760,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:25:00,8263,8265.5,8255.5,8263,4171,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:26:00,8263,8265,8258,8262.5,1643,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:27:00,8262.5,8268,8260,8263,2939,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:28:00,8263.5,8276,8263.5,8270.5,1781,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:29:00,8268,8272,8263,8265.5,2560,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:30:00,8267.5,8273.5,8260.5,8261.5,1749,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:31:00,8258.5,8258.5,8250,8254,2795,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:32:00,8255,8263.5,8255,8259.5,2176,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:33:00,8260,8261,8256.5,8260,1787,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:34:00,8260.5,8268.5,8260,8266.5,715,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:35:00,8270,8271,8267.5,8270,880,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:36:00,8270.5,8273.5,8266.5,8266.5,1037,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:37:00,8266,8268,8264,8265.5,911,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:38:00,8265.5,8276,8264,8276,1259,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:39:00,8276,8279,8270,8272,1241,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:40:00,8273,8274,8273,8274,494,0,1,16669,01-01-0001 00:00:00
20-06-2025,09:41:00,8274,8275.5,8274,8275.5,422,0,1,16669,01-01-0001 00:00:00
