date,time,open,high,low,close,volume,oi,exchangecode,symbolcode,expiry
23-05-2025,09:15:00,1825,1829.3,1821.5,1829.3,37710,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:16:00,1828.8,1829.7,1827.8,1829,10941,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:17:00,1829.6,1829.6,1828.7,1828.7,8453,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:18:00,1827,1827.7,1823,1823,16120,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:19:00,1823.1,1823.2,1822.1,1823.1,6886,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:20:00,1824.6,1829.2,1824.6,1829.2,6824,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:21:00,1828.2,1829.7,1828.2,1829.7,7238,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:22:00,1829.7,1833.3,1829.2,1832.9,9374,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:23:00,1832.2,1832.9,1832.1,1832.9,4657,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:24:00,1833.2,1836,1832.4,1836,9497,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:25:00,1835.1,1835.1,1833.1,1834.2,5254,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:26:00,1833.9,1834.9,1833.4,1834.2,3543,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:27:00,1834.9,1835.9,1834.3,1835.9,4701,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:28:00,1835.9,1836.5,1835.4,1835.9,6258,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:29:00,1836.2,1836.2,1834.2,1834.2,3063,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:30:00,1833.5,1834,1832.4,1833,9572,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:31:00,1832.7,1834.2,1832.2,1834.2,7462,0,1,10604,01-01-0001 00:00:00
23-05-2025,09:32:00,1834.1,1834.9,1833.6,1834.8,3196,0,1,10604,01-01-0001 00:00:00
