date,time,open,high,low,close,volume,oi,exchangecode,symbolcode,expiry
03-07-2025,09:15:00,1432.1,1437,1432.1,1434.7,133792,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:16:00,1435.1,1438.9,1435.1,1438.6,44724,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:17:00,1438.5,1439.5,1437.7,1439.2,49053,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:18:00,1439.2,1440.5,1437.9,1439.9,62731,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:19:00,1440.1,1441,1440,1440.8,51086,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:20:00,1440.7,1440.7,1439.2,1439.2,23900,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:21:00,1439.2,1439.2,1437.4,1437.6,35255,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:22:00,1437.6,1437.8,1437.2,1437.4,20364,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:23:00,1436.5,1436.8,1435.6,1435.8,23353,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:24:00,1435.4,1435.4,1434.1,1434.3,14148,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:25:00,1434.3,1435.4,1433.5,1433.5,16025,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:26:00,1433.4,1434.9,1433.4,1434.3,13001,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:27:00,1434.5,1434.5,1433.5,1433.8,10123,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:28:00,1433.6,1433.9,1432.8,1432.8,27848,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:29:00,1433.4,1433.4,1432.2,1432.2,19138,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:30:00,1432.3,1432.6,1432.2,1432.4,16252,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:31:00,1432.3,1432.9,1432.3,1432.8,13155,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:32:00,1433.7,1434.6,1433.7,1434.3,20842,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:33:00,1434.4,1435.7,1434.2,1435.7,16021,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:34:00,1435.7,1435.7,1435.2,1435.6,9072,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:35:00,1435.4,1435.8,1434.5,1435.5,14024,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:36:00,1435.6,1437.2,1435.6,1436.5,12135,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:37:00,1436.5,1437.9,1436.5,1437.5,13906,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:38:00,1437.5,1437.9,1437.1,1437.1,4868,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:39:00,1437.3,1437.3,1435.9,1435.9,16208,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:40:00,1435.9,1437.3,1435,1437.3,30006,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:41:00,1437.2,1437.3,1435.8,1436.7,9275,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:42:00,1436.9,1437.5,1436.6,1437,13335,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:43:00,1437,1437.4,1436.8,1437.4,7544,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:44:00,1437.5,1437.6,1437.4,1437.5,2631,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:45:00,1437.6,1438.8,1437.6,1438.7,8286,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:46:00,1438.7,1439.4,1438.6,1438.8,12448,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:47:00,1438.5,1438.8,1438,1438.3,5222,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:48:00,1438.3,1439,1437.9,1439,9457,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:49:00,1439.1,1441,1438.8,1440.7,51665,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:50:00,1440.9,1442,1440.8,1441.7,37006,0,1,4963,01-01-0001 00:00:00
03-07-2025,09:51:00,1441.7,1442.2,1441,1441.7,20879,0,1,4963,01-01-0001 00:00:00
