date,time,open,high,low,close,volume,oi,exchangecode,symbolcode,expiry
17-07-2025,09:15:00,1487.4,1489.6,1485.6,1486.1,64155,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:16:00,1486.1,1488.3,1485.1,1486,130382,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:17:00,1486,1486.1,1485,1485.7,32389,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:18:00,1486,1486.8,1485.7,1486.5,20896,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:19:00,1485.9,1485.9,1484.3,1484.6,40979,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:20:00,1484.4,1484.7,1483.2,1483.2,20179,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:21:00,1483.2,1483.9,1483.2,1483.9,12194,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:22:00,1483.5,1484.2,1483.5,1484.2,11235,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:23:00,1484.2,1485,1483.1,1485,13156,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:24:00,1485,1486,1485,1485.6,16149,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:25:00,1485.4,1486.5,1485.4,1485.6,18208,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:26:00,1485.5,1485.7,1485.4,1485.4,9333,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:27:00,1485.4,1485.6,1485.4,1485.5,7763,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:28:00,1485.5,1485.6,1485.5,1485.6,6449,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:29:00,1485.6,1485.7,1485.5,1485.6,21620,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:30:00,1485.6,1485.8,1485.3,1485.6,24741,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:31:00,1485.6,1485.6,1485.4,1485.6,9090,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:32:00,1485.6,1485.6,1485,1485.1,16378,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:33:00,1485,1485.4,1485,1485.3,8416,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:34:00,1485.1,1485.6,1485.1,1485.4,18178,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:35:00,1485.6,1485.6,1484.6,1485,13574,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:36:00,1485.1,1485.1,1482.1,1482.5,26097,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:37:00,1482.5,1483.5,1482.1,1483.4,21075,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:38:00,1483.4,1483.4,1483.1,1483.2,6007,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:39:00,1483.1,1483.6,1483.1,1483.5,4688,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:40:00,1483.4,1483.5,1483.2,1483.4,7472,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:41:00,1483.1,1483.4,1483,1483.1,7836,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:42:00,1483.3,1484,1483,1483.7,22782,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:43:00,1483.4,1483.6,1482.3,1482.3,8853,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:44:00,1482.3,1483.4,1482.3,1483.4,10326,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:45:00,1483.4,1483.6,1483,1483,5374,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:46:00,1483,1483.5,1482.5,1482.5,7741,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:47:00,1482.6,1483,1482.5,1482.5,10635,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:48:00,1482.9,1483,1482.4,1482.4,6497,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:49:00,1482.5,1482.7,1482,1482.1,12632,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:50:00,1482.1,1482.5,1481.1,1481.3,29957,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:51:00,1481.1,1481.7,1481,1481.7,11433,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:52:00,1481.6,1482,1481.4,1481.9,6100,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:53:00,1481.8,1482.5,1481.6,1482.1,12381,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:54:00,1482.4,1482.4,1481,1481.4,19063,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:55:00,1481.6,1481.8,1481.3,1481.7,6743,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:56:00,1481.4,1481.7,1481,1481.2,16989,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:57:00,1481.1,1481.5,1481,1481.2,8947,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:58:00,1481.2,1481.8,1481.2,1481.2,13866,0,1,2885,01-01-0001 00:00:00
17-07-2025,09:59:00,1481.5,1481.6,1481.2,1481.2,6400,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:00:00,1481.3,1481.5,1481,1481.1,18653,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:01:00,1481.1,1481.3,1480.3,1480.3,52643,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:02:00,1480.4,1480.8,1480.1,1480.6,16027,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:03:00,1480.4,1480.8,1480.2,1480.3,16688,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:04:00,1480.3,1480.6,1480.1,1480.1,14036,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:05:00,1480.1,1480.5,1480,1480,84727,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:06:00,1480.1,1480.3,1479.7,1479.9,41666,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:07:00,1479.9,1481.9,1479.7,1481.3,49600,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:08:00,1481.4,1482,1480.8,1480.8,15850,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:09:00,1480.7,1480.7,1480,1480.5,19967,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:10:00,1480.5,1480.8,1480.2,1480.4,9017,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:11:00,1480.7,1480.8,1479.7,1480,82447,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:12:00,1480.2,1480.3,1479.8,1479.8,64405,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:13:00,1479.8,1480.2,1479.4,1480,22247,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:14:00,1480.2,1480.3,1479.9,1479.9,9864,0,1,2885,01-01-0001 00:00:00
17-07-2025,10:15:00,1479.9,1480.1,1479.9,1479.9,2381,0,1,2885,01-01-0001 00:00:00
